(0.0, [1, 42, 1])
(0.11156296730041504, [1, 47, 1])
(0.20759201049804688, [1, 47, 0])
(0.23946213722229004, [1, 42, 0])
(0.6555130481719971, [1, 18, 1])
(0.7514171600341797, [1, 18, 0])
(0.9915130138397217, [1, 19, 1])
(1.0874509811401367, [1, 19, 0])
(1.3436720371246338, [1, 21, 1])
(1.3916430473327637, [1, 21, 0])
(1.7275099754333496, [1, 57, 1])
(1.8234219551086426, [1, 57, 0])
(2.0315730571746826, [1, 31, 1])
(2.1115500926971436, [1, 31, 0])
(2.1275720596313477, [1, 23, 1])
(2.175640106201172, [1, 50, 1])
(2.2235000133514404, [1, 23, 0])
(2.287659168243408, [1, 25, 1])
(2.335556983947754, [1, 50, 0])
(2.367462158203125, [1, 25, 0])
(2.495704174041748, [1, 38, 1])
(2.5756490230560303, [1, 38, 0])
(2.6077780723571777, [1, 18, 1])
(2.7194361686706543, [1, 18, 0])
(2.7674989700317383, [1, 57, 1])
(2.863399028778076, [1, 57, 0])
(2.943493127822876, [1, 20, 1])
(3.007498025894165, [1, 18, 1])
(3.023301124572754, [1, 20, 0])
(3.1034090518951416, [1, 18, 0])
(3.2636380195617676, [1, 31, 1])
(3.343536138534546, [1, 31, 0])
(3.4716579914093018, [1, 20, 1])
(3.519576072692871, [1, 20, 0])
(3.711580991744995, [1, 42, 1])
(3.823570966720581, [1, 2, 1])
(3.9354300498962402, [1, 2, 0])
(3.9994680881500244, [1, 42, 0])
