# © 2017 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html

# Note: this file is not published by Unicode, but since its format follows Unicode's format, it's
# basically derived from Unicode data files.

# Backward compatibility with earlier platforms that supported these
1F93C 1F3FB 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; women wrestling: light skin tone
1F93C 1F3FB 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; men wrestling: light skin tone
1F93C 1F3FC 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; women wrestling: medium-light skin tone
1F93C 1F3FC 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; men wrestling: medium-light skin tone
1F93C 1F3FD 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; women wrestling: medium skin tone
1F93C 1F3FD 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; men wrestling: medium skin tone
1F93C 1F3FE 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; women wrestling: medium-dark skin tone
1F93C 1F3FE 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; men wrestling: medium-dark skin tone
1F93C 1F3FF 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; women wrestling: dark skin tone
1F93C 1F3FF 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; men wrestling: dark skin tone
1F468 1F3FB 200D 1F91D 200D 1F468 1F3FC           ; Emoji_ZWJ_Sequence  ; men holding hands: light skin tone, medium-light skin tone
1F468 1F3FB 200D 1F91D 200D 1F468 1F3FD           ; Emoji_ZWJ_Sequence  ; men holding hands: light skin tone, medium skin tone
1F468 1F3FB 200D 1F91D 200D 1F468 1F3FE           ; Emoji_ZWJ_Sequence  ; men holding hands: light skin tone, medium-dark skin tone
1F468 1F3FB 200D 1F91D 200D 1F468 1F3FF           ; Emoji_ZWJ_Sequence  ; men holding hands: light skin tone, dark skin tone
1F468 1F3FC 200D 1F91D 200D 1F468 1F3FD           ; Emoji_ZWJ_Sequence  ; men holding hands: medium-light skin tone, medium skin tone
1F468 1F3FC 200D 1F91D 200D 1F468 1F3FE           ; Emoji_ZWJ_Sequence  ; men holding hands: medium-light skin tone, medium-dark skin tone
1F468 1F3FC 200D 1F91D 200D 1F468 1F3FF           ; Emoji_ZWJ_Sequence  ; men holding hands: medium-light skin tone, dark skin tone
1F468 1F3FD 200D 1F91D 200D 1F468 1F3FE           ; Emoji_ZWJ_Sequence  ; men holding hands: medium skin tone, medium-dark skin tone
1F468 1F3FD 200D 1F91D 200D 1F468 1F3FF           ; Emoji_ZWJ_Sequence  ; men holding hands: medium skin tone, dark skin tone
1F468 1F3FE 200D 1F91D 200D 1F468 1F3FF           ; Emoji_ZWJ_Sequence  ; men holding hands: medium-dark skin tone, dark skin tone
1F469 1F3FB 200D 1F91D 200D 1F469 1F3FC           ; Emoji_ZWJ_Sequence  ; women holding hands: light skin tone, medium-light skin tone
1F469 1F3FB 200D 1F91D 200D 1F469 1F3FD           ; Emoji_ZWJ_Sequence  ; women holding hands: light skin tone, medium skin tone
1F469 1F3FB 200D 1F91D 200D 1F469 1F3FE           ; Emoji_ZWJ_Sequence  ; women holding hands: light skin tone, medium-dark skin tone
1F469 1F3FB 200D 1F91D 200D 1F469 1F3FF           ; Emoji_ZWJ_Sequence  ; women holding hands: light skin tone, dark skin tone
1F469 1F3FC 200D 1F91D 200D 1F469 1F3FD           ; Emoji_ZWJ_Sequence  ; women holding hands: medium-light skin tone, medium skin tone
1F469 1F3FC 200D 1F91D 200D 1F469 1F3FE           ; Emoji_ZWJ_Sequence  ; women holding hands: medium-light skin tone, medium-dark skin tone
1F469 1F3FC 200D 1F91D 200D 1F469 1F3FF           ; Emoji_ZWJ_Sequence  ; women holding hands: medium-light skin tone, dark skin tone
1F469 1F3FD 200D 1F91D 200D 1F469 1F3FE           ; Emoji_ZWJ_Sequence  ; women holding hands: medium skin tone, medium-dark skin tone
1F469 1F3FD 200D 1F91D 200D 1F469 1F3FF           ; Emoji_ZWJ_Sequence  ; women holding hands: medium skin tone, dark skin tone
1F469 1F3FE 200D 1F91D 200D 1F469 1F3FF           ; Emoji_ZWJ_Sequence  ; women holding hands: medium-dark skin tone, dark skin tone
1F9D1 1F3FB 200D 1F91D 200D 1F9D1 1F3FC           ; Emoji_ZWJ_Sequence  ; people holding hands: light skin tone, medium-light skin tone
