          FW          	CUT	SVN	Coex
rtl8761au8192ee_fw    	 D	13328	3736
rtl8761a_fw           	 D	13328	3736
rtl8761au_fw          	 D	22217	0007
rtl8852au_fw          	 B	24167	0404
rtl8723fs_fw          	 C	24098	0606
rtl8761aw8192eu_fw    	 D	22217	0007
rtl8723f_fw           	 C	24098	0606
rtl8723ds_fw          	 C	24232	3535
rtl8761bt_fw          	 B	24105	0202
rtl8761bs_fw          	 B	21127	0606
rtl8822b_fw           	 C	22746	7979
rtl8821cs_fw          	 B	24271	5050
rtl8761at_fw          	 D	22217	0007
rtl8822c_fw           	 D	24075	1c1c
rtl8761b_fw           	 B	24105	0202
rtl8761au8812ae_fw    	 D	19648	0006
rtl8852as_fw          	 B	24167	0404
rtl8821as_fw          	 B	19884	635d
rtl8821a_fw           	 B	19884	635d
rtl8723bs_fw          	 B	19897	6d50
rtl8725a_fw           	 B	24105	0202
rtl8723b_fw           	 B	19897	6d50
rtl8822cs_fw          	 D	24075	1c1c
rtl8725as_fw          	 B	23166	0202
rtl8821c_fw           	 B	24271	5050
rtl8822bs_fw          	 C	22746	7979
rtl8723d_fw           	 C	24232	3535
rtl8761at8192er_fw    	 D	22217	0007
rtl8723bs_VQ0_fw      	 B	14422	5844
